Filename,Model,Dataset,Seed,Fold,MAE_15m,RMSE_15m,MAPE_15m,MAE_30m,RMSE_30m,MAPE_30m,MAE_60m,RMSE_60m,MAPE_60m
dcrnn_pems08_seed62_fold3.json,DCRNN,PEMS08,62,3,15.5,24.06,10.16,17.54,27.52,11.81,21.52,33.38,14.89
pdformer_pems08_seed42_fold0.json,PDFormer,PEMS08,42,0,16.41,26.05,10.22,18.44,29.49,11.89,22.5,35.43,14.72
pdformer_pems08_seed42_fold1.json,PDFormer,PEMS08,42,1,15.77,25.15,10.75,17.75,28.71,12.48,21.72,34.88,15.99
pdformer_pems08_seed42_fold2.json,PDFormer,PEMS08,42,2,15.74,24.65,10.47,17.61,27.91,11.85,21.47,33.79,14.69
pdformer_pems08_seed42_fold3.json,PDFormer,PEMS08,42,3,15.27,23.94,9.7,17.01,27.05,11.02,20.57,32.48,13.25
pdformer_pems08_seed52_fold0.json,PDFormer,PEMS08,52,0,16.48,26.14,10.37,18.55,29.57,11.5,22.64,35.57,14.75
pdformer_pems08_seed52_fold1.json,PDFormer,PEMS08,52,1,15.73,25.11,10.98,17.74,28.64,12.87,21.73,34.67,18.16
pdformer_pems08_seed52_fold2.json,PDFormer,PEMS08,52,2,15.75,24.75,9.86,17.69,28.02,11.4,21.59,33.89,14.7
pdformer_pems08_seed52_fold3.json,PDFormer,PEMS08,52,3,15.25,23.86,9.66,17.08,27.01,10.89,20.59,32.33,13.66
pdformer_pems08_seed62_fold0.json,PDFormer,PEMS08,62,0,16.33,25.95,10.48,18.32,29.23,11.61,22.17,35.02,14.32
pdformer_pems08_seed62_fold1.json,PDFormer,PEMS08,62,1,15.72,25.11,11.31,17.62,28.52,12.62,21.49,34.51,16.48
pdformer_pems08_seed62_fold2.json,PDFormer,PEMS08,62,2,15.75,24.65,9.94,17.69,27.89,10.97,21.59,33.74,13.47
pdformer_pems08_seed62_fold3.json,PDFormer,PEMS08,62,3,15.08,23.63,9.75,16.91,26.78,10.87,20.24,31.87,13.08
pgcrn_pems04_seed42_fold0.json,PGCRN,PEMS04,42,0,28.99,42.99,22.29,31.39,46.55,24.28,37.56,54.92,28.99
pgcrn_pems04_seed42_fold1.json,PGCRN,PEMS04,42,1,29.16,43.52,22.45,31.54,47.01,21.53,37.85,55.64,25.72
pgcrn_pems04_seed42_fold2.json,PGCRN,PEMS04,42,2,26.89,40.22,20.52,29.04,43.32,22.09,34.7,50.97,27.27
pgcrn_pems04_seed42_fold3.json,PGCRN,PEMS04,42,3,27.81,41.53,20.63,30.02,44.67,23.11,36.07,52.75,28.7
pgcrn_pems04_seed52_fold0.json,PGCRN,PEMS04,52,0,28.83,42.86,20.93,31.09,46.3,22.44,37.42,55.06,26.88
pgcrn_pems04_seed52_fold1.json,PGCRN,PEMS04,52,1,29.28,43.4,20.27,31.71,46.95,21.95,38.27,56.11,26.03
pgcrn_pems04_seed52_fold2.json,PGCRN,PEMS04,52,2,27.04,40.29,19.6,28.99,43.13,20.85,34.47,50.66,24.78
pgcrn_pems04_seed52_fold3.json,PGCRN,PEMS04,52,3,27.85,41.57,20.08,30.04,44.78,21.37,36.26,53.24,25.64
pgcrn_pems04_seed62_fold0.json,PGCRN,PEMS04,62,0,28.75,42.72,21.05,30.94,45.98,22.85,37.2,54.51,27.45
pgcrn_pems04_seed62_fold1.json,PGCRN,PEMS04,62,1,28.94,43.2,19.8,31.19,46.44,21.27,37.79,55.46,25.22
pgcrn_pems04_seed62_fold2.json,PGCRN,PEMS04,62,2,27.17,40.55,21.37,29.25,43.51,23.06,34.87,50.96,29.35
pgcrn_pems04_seed62_fold3.json,PGCRN,PEMS04,62,3,27.71,41.54,19.98,30.18,45.03,21.44,36.56,53.66,25.33
stdmae_pems08_seed42_fold0.json,STD-MAE,PEMS08,42,0,16.34,25.65,10.18,16.84,26.45,10.4,17.9,27.93,11.29
stdmae_pems08_seed42_fold1.json,STD-MAE,PEMS08,42,1,17.6,28.14,17.57,18.51,29.84,18.76,20.04,32.28,20.77
stdmae_pems08_seed42_fold2.json,STD-MAE,PEMS08,42,2,15.68,24.62,9.98,16.22,25.59,10.2,17.37,27.22,11.11
stdmae_pems08_seed52_fold0.json,STD-MAE,PEMS08,52,0,16.31,25.62,10.12,16.9,26.58,10.57,18.09,28.3,11.23
stdmae_pems08_seed52_fold1.json,STD-MAE,PEMS08,52,1,17.42,27.88,16.43,18.24,29.34,17.35,19.91,31.98,19.22
stdmae_pems08_seed62_fold0.json,STD-MAE,PEMS08,62,0,16.29,25.65,10.34,16.66,26.28,10.42,17.76,27.87,11.31
stdmae_pems08_seed62_fold1.json,STD-MAE,PEMS08,62,1,18.26,29.76,18.4,18.73,30.69,18.85,20.15,33.13,20.71
stfgnn_pems04_seed42_fold0.json,STFGNN,PEMS04,42,0,26.07,40.26,20.44,26.97,41.41,20.9,31.21,46.63,24.62
stfgnn_pems04_seed42_fold1.json,STFGNN,PEMS04,42,1,24.69,37.97,18.21,25.41,38.87,18.84,29.68,44.35,22.53
stfgnn_pems04_seed42_fold2.json,STFGNN,PEMS04,42,2,24.98,38.05,18.53,25.71,38.94,19.19,29.29,43.33,22.6
stfgnn_pems04_seed42_fold3.json,STFGNN,PEMS04,42,3,25.19,39.04,19.38,25.86,39.82,19.85,29.49,44.1,22.63
stfgnn_pems04_seed52_fold0.json,STFGNN,PEMS04,52,0,25.99,39.96,19.47,26.87,41.01,20.21,31.11,46.09,24.01
stfgnn_pems04_seed52_fold1.json,STFGNN,PEMS04,52,1,25.16,38.61,18.01,25.87,39.51,18.48,30.03,44.87,21.92
stfgnn_pems04_seed52_fold2.json,STFGNN,PEMS04,52,2,24.98,38.19,18.13,25.74,39.16,18.74,29.45,43.82,21.91
stfgnn_pems04_seed52_fold3.json,STFGNN,PEMS04,52,3,25.13,39.04,18.29,25.84,39.86,18.77,29.64,44.32,21.9
stfgnn_pems04_seed62_fold0.json,STFGNN,PEMS04,62,0,26.05,39.9,19.76,26.83,40.83,20.53,30.93,45.84,24.79
stfgnn_pems04_seed62_fold1.json,STFGNN,PEMS04,62,1,25.02,38.47,17.76,25.79,39.47,18.3,30.13,44.95,22.17
stfgnn_pems04_seed62_fold2.json,STFGNN,PEMS04,62,2,24.76,38.21,17.82,25.59,39.24,18.64,29.43,43.95,22.36
stfgnn_pems04_seed62_fold3.json,STFGNN,PEMS04,62,3,25.26,39.15,20.73,26.03,40.04,21.47,30.0,44.79,24.7
stfgnn_pems08_seed42_fold0.json,STFGNN,PEMS08,42,0,24.98,38.96,18.21,25.76,39.95,19.06,29.12,43.85,22.61
stfgnn_pems08_seed42_fold1.json,STFGNN,PEMS08,42,1,25.28,42.54,30.75,25.81,43.23,31.29,28.43,46.0,34.64
stfgnn_pems08_seed42_fold2.json,STFGNN,PEMS08,42,2,22.02,33.9,15.69,22.62,34.62,16.28,25.51,38.05,19.0
stfgnn_pems08_seed42_fold3.json,STFGNN,PEMS08,42,3,20.96,31.94,15.55,21.51,32.72,16.02,24.11,36.07,18.56
stfgnn_pems08_seed52_fold0.json,STFGNN,PEMS08,52,0,24.98,38.88,17.38,25.68,39.78,18.13,28.93,43.52,21.43
stfgnn_pems08_seed52_fold1.json,STFGNN,PEMS08,52,1,25.63,43.11,29.67,26.07,43.73,30.16,28.53,46.38,32.89
stfgnn_pems08_seed52_fold2.json,STFGNN,PEMS08,52,2,22.41,34.04,16.54,23.05,34.81,17.09,26.04,38.45,19.85
stfgnn_pems08_seed52_fold3.json,STFGNN,PEMS08,52,3,21.01,32.13,15.68,21.48,32.84,16.32,23.99,35.99,19.21
stfgnn_pems08_seed62_fold0.json,STFGNN,PEMS08,62,0,25.32,38.66,20.32,25.96,39.58,20.83,29.13,43.37,24.22
stfgnn_pems08_seed62_fold1.json,STFGNN,PEMS08,62,1,25.66,42.54,31.01,26.11,43.13,31.83,28.46,45.71,34.53
stfgnn_pems08_seed62_fold2.json,STFGNN,PEMS08,62,2,22.24,34.21,16.22,22.87,34.95,16.79,25.79,38.41,19.52
stfgnn_pems08_seed62_fold3.json,STFGNN,PEMS08,62,3,21.05,32.14,16.41,21.56,32.83,17.38,23.99,35.84,20.35
